Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro Prefixado;01/01/2031;13/10/2025;13,71;13,83;514,35;511,29;511,29
;;;;;;;
Tesouro IPCA+ com Juros Semestrais;15/08/2050;13/10/2025;7,29;7,41;3965,89;3910,53;3910,53
Tesouro IPCA+ com Juros Semestrais;15/08/2060;13/10/2025;7,27;7,39;3907,1;3847,4;3847,4
Tesouro IPCA+ com Juros Semestrais;15/08/2032;13/10/2025;7,86;7,98;4182,75;4155,04;4155,04
Tesouro IPCA+ com Juros Semestrais;15/08/2030;13/10/2025;7,97;8,09;4268,42;4246,7;4246,7
Tesouro IPCA+ com Juros Semestrais;15/05/2035;13/10/2025;7,68;7,8;4185,15;4150,48;4150,48
Tesouro IPCA+ com Juros Semestrais;15/05/2045;13/10/2025;7,38;7,5;4057,24;4006,65;4006,65
Tesouro IPCA+ com Juros Semestrais;15/05/2055;13/10/2025;7,25;7,37;4014,84;3956,61;3956,61
Tesouro IPCA+ com Juros Semestrais;15/08/2040;13/10/2025;7,46;7,58;4040,84;3996,25;3996,25
Tesouro IPCA+;15/05/2045;13/10/2025;7,21;7,33;1175,69;1149,86;1149,86
Tesouro IPCA+;15/08/2050;13/10/2025;7,06;7,18;846,29;822,86;822,86
Tesouro IPCA+;15/08/2040;13/10/2025;7,32;7,44;1607,46;1580,48;1580,48
;;;;;;;
Tesouro IPCA+;15/05/2035;13/10/2025;7,6;7,72;2269,66;2244,69;2244,69
Tesouro IPCA+;15/05/2029;13/10/2025;7,98;8,1;3470,51;3455,23;3455,23
Tesouro IGPM+ com Juros Semestrais;01/01/2031;13/10/2025;7,98;8,1;7733,77;7696,92;7696,92
Tesouro Prefixado com Juros Semestrais;01/01/2027;13/10/2025;13,92;14,04;988,2;986,5;986,5
Tesouro Prefixado com Juros Semestrais;01/01/2031;13/10/2025;13,8;13,92;899,25;895,03;895,03
Tesouro Prefixado com Juros Semestrais;01/01/2029;13/10/2025;13,48;13,6;946,06;942,87;942,87
Tesouro Prefixado com Juros Semestrais;01/01/2033;13/10/2025;13,87;13,99;865,28;860,33;860,33
Tesouro Prefixado com Juros Semestrais;01/01/2035;13/10/2025;13,93;14,05;839,07;833,63;833,63
Tesouro Renda+ Aposentadoria Extra;15/12/2064;13/10/2025;7,07;7,19;676,64;656,33;656,33
Tesouro Renda+ Aposentadoria Extra;15/12/2054;13/10/2025;7,24;7,36;1298,89;1274,09;1274,09
Tesouro Renda+ Aposentadoria Extra;15/12/2074;13/10/2025;7,06;7,18;344,32;330,28;330,28
Tesouro Renda+ Aposentadoria Extra;15/12/2084;13/10/2025;7,07;7,19;174;165,06;165,06
Tesouro Renda+ Aposentadoria Extra;15/12/2079;13/10/2025;7,07;7,19;244,33;233,07;233,07
Tesouro Renda+ Aposentadoria Extra;15/12/2049;13/10/2025;7,4;7,52;1806,16;1781,67;1781,67
Tesouro Renda+ Aposentadoria Extra;15/12/2059;13/10/2025;7,13;7,25;938,46;915,39;915,39
Tesouro Renda+ Aposentadoria Extra;15/12/2069;13/10/2025;7,05;7,17;484,73;467,56;467,56
Tesouro Educa+;15/12/2030;13/10/2025;8,22;8,34;3708,87;3696,74;3696,74
Tesouro Educa+;15/12/2036;13/10/2025;7,65;7,77;2421,07;2397,15;2397,15
Tesouro Educa+;15/12/2042;13/10/2025;7,33;7,45;1628,69;1601,85;1601,85
Tesouro Educa+;15/12/2039;13/10/2025;7,46;7,58;1983,88;1957,74;1957,74
Tesouro Educa+;15/12/2038;13/10/2025;7,52;7,64;2118,16;2092,57;2092,57
Tesouro Educa+;15/12/2035;13/10/2025;7,72;7,84;2592,61;2569,85;2569,85
Tesouro Educa+;15/12/2032;13/10/2025;7,93;8,05;3208,93;3191,37;3191,37
Tesouro Educa+;15/12/2043;13/10/2025;7,3;7,42;1524,42;1497,62;1497,62
Tesouro Educa+;15/12/2033;13/10/2025;7,85;7,97;2986,71;2967,08;2967,08
Tesouro Educa+;15/12/2045;13/10/2025;7,25;7,37;1335,84;1309,43;1309,43
Tesouro Educa+;15/12/2040;13/10/2025;7,41;7,53;1857,6;1831,07;1831,07
Tesouro Educa+;15/12/2047;13/10/2025;7,2;7,32;1173,11;1147,35;1147,35
Tesouro Educa+;15/12/2046;13/10/2025;7,23;7,35;1250,41;1224,33;1224,33
Tesouro Educa+;15/12/2041;13/10/2025;7,37;7,49;1738,73;1711,98;1711,98
Tesouro Educa+;15/12/2044;13/10/2025;7,27;7,39;1427,73;1401,06;1401,06
Tesouro Educa+;15/12/2034;13/10/2025;7,79;7,91;2780,11;2758,77;2758,77
Tesouro Educa+;15/12/2037;13/10/2025;7,58;7,7;2263,99;2239,13;2239,13
Tesouro Educa+;15/12/2031;13/10/2025;8,05;8,17;3448,34;3433,28;3433,28
Tesouro Selic;01/03/2027;10/10/2025;0,03;0,04;17539,66;17527,54;17527,54
Tesouro Selic;01/03/2031;10/10/2025;0,11;0,12;17447,5;17428,44;17428,44
;;;;;;;
Tesouro Selic;01/03/2028;10/10/2025;0,05;0,06;17525,42;17511,53;17511,53
Tesouro Selic;01/03/2029;10/10/2025;0,08;0,09;17497,03;17481,42;17481,42
Tesouro Prefixado;01/01/2027;10/10/2025;13,93;14,05;853,98;852,45;852,45
Tesouro Prefixado;01/01/2028;10/10/2025;13,35;13,47;758,45;756,3;756,3
;;;;;;;
Tesouro Prefixado;01/01/2029;10/10/2025;13,36;13,48;670,26;667,67;667,67
Tesouro Prefixado;01/01/2032;10/10/2025;13,8;13,92;449,9;446,75;446,75
Tesouro Prefixado;01/01/2031;10/10/2025;13,64;13,76;515,73;512,66;512,66
Tesouro IPCA+ com Juros Semestrais;15/08/2030;10/10/2025;7,95;8,07;4269,74;4246,64;4246,64
Tesouro IPCA+ com Juros Semestrais;15/08/2040;10/10/2025;7,41;7,53;4057,06;4010,92;4010,92
Tesouro IPCA+ com Juros Semestrais;15/08/2050;10/10/2025;7,27;7,39;3973,21;3916,4;3916,4
;;;;;;;
Tesouro IPCA+ com Juros Semestrais;15/08/2060;10/10/2025;7,26;7,38;3910,29;3849,24;3849,24
Tesouro IPCA+ com Juros Semestrais;15/08/2032;10/10/2025;7,85;7,97;4182,98;4153,93;4153,93
Tesouro IPCA+ com Juros Semestrais;15/05/2035;10/10/2025;7,64;7,76;4194,25;4158,14;4158,14
Tesouro IPCA+ com Juros Semestrais;15/05/2045;10/10/2025;7,35;7,47;4067,79;4015,7;4015,7
Tesouro IPCA+ com Juros Semestrais;15/05/2055;10/10/2025;7,24;7,36;4017,85;3958,25;3958,25
Tesouro IPCA+;15/05/2045;10/10/2025;7,19;7,31;1179,45;1153,17;1153,17
Tesouro IPCA+;15/08/2040;10/10/2025;7,26;7,38;1620,07;1592,35;1592,35
Tesouro IPCA+;15/05/2029;10/10/2025;7,98;8,1;3468,89;3452,51;3452,51
;;;;;;;
Tesouro IPCA+;15/08/2050;10/10/2025;7,06;7,18;845,93;822,24;822,24
Tesouro IPCA+;15/05/2035;10/10/2025;7,55;7,67;2278,69;2252,89;2252,89
Tesouro IGPM+ com Juros Semestrais;01/01/2031;10/10/2025;7,96;8,08;7736,98;7699,73;7699,73
Tesouro Prefixado com Juros Semestrais;01/01/2035;10/10/2025;13,85;13,97;842,01;836,53;836,53
Tesouro Prefixado com Juros Semestrais;01/01/2027;10/10/2025;13,94;14,06;987,49;985,79;985,79
Tesouro Prefixado com Juros Semestrais;01/01/2033;10/10/2025;13,8;13,92;867,48;862,51;862,51
Tesouro Prefixado com Juros Semestrais;01/01/2029;10/10/2025;13,42;13,54;946,94;943,75;943,75
Tesouro Prefixado com Juros Semestrais;01/01/2031;10/10/2025;13,72;13,84;901,3;897,07;897,07
Tesouro Renda+ Aposentadoria Extra;15/12/2054;10/10/2025;7,21;7,33;1304,46;1279,13;1279,13
Tesouro Renda+ Aposentadoria Extra;15/12/2074;10/10/2025;7,07;7,19;342,99;328,9;328,9
Tesouro Renda+ Aposentadoria Extra;15/12/2084;10/10/2025;7,09;7,21;172,41;163,5;163,5
Tesouro Renda+ Aposentadoria Extra;15/12/2079;10/10/2025;7,09;7,21;242,33;231,09;231,09
Tesouro Renda+ Aposentadoria Extra;15/12/2064;10/10/2025;7,08;7,2;674,66;654,19;654,19
Tesouro Renda+ Aposentadoria Extra;15/12/2059;10/10/2025;7,12;7,24;939,97;916,56;916,56
Tesouro Renda+ Aposentadoria Extra;15/12/2049;10/10/2025;7,37;7,49;1811,35;1786,19;1786,19
Tesouro Renda+ Aposentadoria Extra;15/12/2069;10/10/2025;7,06;7,18;483,08;465,82;465,82
Tesouro Educa+;15/12/2031;10/10/2025;8,04;8,16;3447,86;3431,68;3431,68
Tesouro Educa+;15/12/2030;10/10/2025;8,21;8,33;3707,98;3694,66;3694,66
Tesouro Educa+;15/12/2042;10/10/2025;7,28;7,4;1638,99;1611,45;1611,45
Tesouro Educa+;15/12/2039;10/10/2025;7,41;7,53;1993,63;1966,71;1966,71
